week_start,origin_state,destination_state,equipment_type,avg_rate_per_mile,min_rate_per_mile,max_rate_per_mile,load_volume
2025-12-08,PA,OH,Box Truck,3.77,3.32,4.45,16
2025-12-15,PA,OH,Box Truck,3.23,2.84,3.81,12
2025-12-22,PA,OH,Box Truck,3.83,3.37,4.52,15
2025-12-29,PA,OH,Box Truck,3.63,3.19,4.28,17
2026-01-05,PA,OH,Box Truck,3.03,2.67,3.58,14
2026-01-12,PA,OH,Box Truck,2.96,2.6,3.49,5
2026-01-19,PA,OH,Box Truck,2.89,2.54,3.41,13
2026-01-26,PA,OH,Box Truck,3.38,2.97,3.99,6
2026-02-02,PA,OH,Box Truck,3.01,2.65,3.55,6
2026-02-09,PA,OH,Box Truck,3.2,2.82,3.78,6
2026-02-16,PA,OH,Box Truck,2.78,2.45,3.28,2
2026-02-23,PA,OH,Box Truck,3.18,2.8,3.75,7
2026-03-02,PA,OH,Box Truck,3.05,2.68,3.6,8
2026-03-09,PA,OH,Box Truck,3.19,2.81,3.76,6
2026-03-16,PA,OH,Box Truck,3.41,3.0,4.02,16
2026-03-23,PA,OH,Box Truck,3.37,2.97,3.98,4
2026-03-30,PA,OH,Box Truck,3.39,2.98,4.0,6
2026-04-06,PA,OH,Box Truck,3.29,2.9,3.88,14
2026-04-13,PA,OH,Box Truck,2.99,2.63,3.53,15
2026-04-20,PA,OH,Box Truck,2.96,2.6,3.49,6
2026-04-27,PA,OH,Box Truck,2.91,2.56,3.43,4
2026-05-04,PA,OH,Box Truck,2.91,2.56,3.43,11
2026-05-11,PA,OH,Box Truck,3.31,2.91,3.91,2
2025-12-01,MD,PA,Box Truck,5.13,4.51,6.05,11
2025-12-08,MD,PA,Box Truck,4.48,3.94,5.29,18
2025-12-15,MD,PA,Box Truck,4.35,3.83,5.13,14
2025-12-22,MD,PA,Box Truck,4.36,3.84,5.14,3
2025-12-29,MD,PA,Box Truck,4.77,4.2,5.63,9
2026-01-05,MD,PA,Box Truck,4.34,3.82,5.12,5
2026-01-12,MD,PA,Box Truck,3.96,3.48,4.67,4
2026-01-19,MD,PA,Box Truck,4.13,3.63,4.87,2
2026-01-26,MD,PA,Box Truck,4.45,3.92,5.25,12
2026-02-02,MD,PA,Box Truck,3.63,3.19,4.28,15
2026-02-09,MD,PA,Box Truck,3.86,3.4,4.55,7
2026-02-16,MD,PA,Box Truck,4.24,3.73,5.0,4
2026-02-23,MD,PA,Box Truck,3.52,3.1,4.15,4
2026-03-02,MD,PA,Box Truck,3.52,3.1,4.15,8
2026-03-09,MD,PA,Box Truck,3.55,3.12,4.19,3
2026-03-16,MD,PA,Box Truck,4.42,3.89,5.22,14
2026-03-23,MD,PA,Box Truck,3.99,3.51,4.71,18
2026-03-30,MD,PA,Box Truck,4.24,3.73,5.0,15
2026-04-06,MD,PA,Box Truck,4.18,3.68,4.93,4
2026-04-13,MD,PA,Box Truck,4.12,3.63,4.86,6
2026-04-20,MD,PA,Box Truck,3.77,3.32,4.45,11
2026-04-27,MD,PA,Box Truck,3.58,3.15,4.22,8
2026-05-04,MD,PA,Box Truck,4.44,3.91,5.24,6
2026-05-11,MD,PA,Box Truck,4.02,3.54,4.74,14
2025-12-01,PA,PA,Sprinter Van,4.14,3.64,4.89,4
2025-12-08,PA,PA,Sprinter Van,3.62,3.19,4.27,15
2025-12-15,PA,PA,Sprinter Van,3.91,3.44,4.61,9
2025-12-22,PA,PA,Sprinter Van,3.23,2.84,3.81,4
2025-12-29,PA,PA,Sprinter Van,3.87,3.41,4.57,5
2026-01-05,PA,PA,Sprinter Van,3.38,2.97,3.99,3
2026-01-12,PA,PA,Sprinter Van,3.17,2.79,3.74,7
2026-01-19,PA,PA,Sprinter Van,2.94,2.59,3.47,6
2026-01-26,PA,PA,Sprinter Van,3.29,2.9,3.88,7
2026-02-02,PA,PA,Sprinter Van,3.14,2.76,3.71,13
2026-02-09,PA,PA,Sprinter Van,3.16,2.78,3.73,10
2026-02-16,PA,PA,Sprinter Van,2.89,2.54,3.41,6
2026-02-23,PA,PA,Sprinter Van,3.33,2.93,3.93,10
2026-03-02,PA,PA,Sprinter Van,3.31,2.91,3.91,5
2026-03-09,PA,PA,Sprinter Van,3.34,2.94,3.94,2
2026-03-16,PA,PA,Sprinter Van,3.01,2.65,3.55,15
2026-03-23,PA,PA,Sprinter Van,2.97,2.61,3.5,4
2026-03-30,PA,PA,Sprinter Van,2.96,2.6,3.49,4
2026-04-06,PA,PA,Sprinter Van,3.14,2.76,3.71,18
2026-04-13,PA,PA,Sprinter Van,3.03,2.67,3.58,17
2026-04-20,PA,PA,Sprinter Van,3.41,3.0,4.02,7
2026-04-27,PA,PA,Sprinter Van,3.04,2.68,3.59,10
2026-05-04,PA,PA,Sprinter Van,3.34,2.94,3.94,5
2026-05-11,PA,PA,Sprinter Van,2.93,2.58,3.46,18
2025-12-01,NY,MA,Flatbed,4.32,3.8,5.1,2
2025-12-08,NY,MA,Flatbed,3.64,3.2,4.3,17
2025-12-15,NY,MA,Flatbed,3.66,3.22,4.32,6
2025-12-22,NY,MA,Flatbed,3.4,2.99,4.01,3
2025-12-29,NY,MA,Flatbed,3.64,3.2,4.3,15
2026-01-05,NY,MA,Flatbed,3.26,2.87,3.85,9
2026-01-12,NY,MA,Flatbed,3.33,2.93,3.93,12
2026-01-19,NY,MA,Flatbed,3.12,2.75,3.68,4
2026-01-26,NY,MA,Flatbed,3.26,2.87,3.85,5
2026-02-02,NY,MA,Flatbed,3.21,2.82,3.79,3
2026-02-09,NY,MA,Flatbed,2.96,2.6,3.49,18
2026-02-16,NY,MA,Flatbed,3.58,3.15,4.22,14
2026-02-23,NY,MA,Flatbed,2.87,2.53,3.39,16
2026-03-02,NY,MA,Flatbed,3.49,3.07,4.12,11
2026-03-09,NY,MA,Flatbed,3.07,2.7,3.62,16
2026-03-16,NY,MA,Flatbed,2.83,2.49,3.34,8
2026-03-23,NY,MA,Flatbed,3.05,2.68,3.6,11
2026-03-30,NY,MA,Flatbed,3.39,2.98,4.0,9
2026-04-06,NY,MA,Flatbed,3.18,2.8,3.75,17
2026-04-13,NY,MA,Flatbed,3.59,3.16,4.24,8
2026-04-20,NY,MA,Flatbed,3.38,2.97,3.99,9
2026-04-27,NY,MA,Flatbed,2.94,2.59,3.47,15
2026-05-04,NY,MA,Flatbed,2.84,2.5,3.35,13
2026-05-11,NY,MA,Flatbed,3.31,2.91,3.91,2
2025-12-01,NJ,NY,Box Truck,4.51,3.97,5.32,14
2025-12-08,NJ,NY,Box Truck,5.42,4.77,6.4,11
2025-12-15,NJ,NY,Box Truck,4.41,3.88,5.2,18
2025-12-22,NJ,NY,Box Truck,5.3,4.66,6.25,15
2025-12-29,NJ,NY,Box Truck,4.62,4.07,5.45,3
2026-01-05,NJ,NY,Box Truck,5.01,4.41,5.91,6
2026-01-12,NJ,NY,Box Truck,4.6,4.05,5.43,4
2026-01-19,NJ,NY,Box Truck,3.79,3.34,4.47,9
2026-01-26,NJ,NY,Box Truck,4.53,3.99,5.35,18
2026-02-02,NJ,NY,Box Truck,4.05,3.56,4.78,13
2026-02-09,NJ,NY,Box Truck,4.09,3.6,4.83,4
2026-02-16,NJ,NY,Box Truck,4.21,3.7,4.97,18
2026-02-23,NJ,NY,Box Truck,3.77,3.32,4.45,14
2026-03-02,NJ,NY,Box Truck,3.71,3.26,4.38,3
2026-03-09,NJ,NY,Box Truck,4.07,3.58,4.8,6
2026-03-16,NJ,NY,Box Truck,3.87,3.41,4.57,10
2026-03-23,NJ,NY,Box Truck,4.48,3.94,5.29,14
2026-03-30,NJ,NY,Box Truck,4.33,3.81,5.11,12
2026-04-06,NJ,NY,Box Truck,3.95,3.48,4.66,10
2026-04-13,NJ,NY,Box Truck,3.87,3.41,4.57,8
2026-04-20,NJ,NY,Box Truck,3.77,3.32,4.45,5
2026-04-27,NJ,NY,Box Truck,3.79,3.34,4.47,7
2026-05-04,NJ,NY,Box Truck,4.08,3.59,4.81,12
2026-05-11,NJ,NY,Box Truck,4.04,3.56,4.77,13
2025-12-01,DE,NJ,Flatbed,6.25,5.5,7.38,11
2025-12-08,DE,NJ,Flatbed,6.5,5.72,7.67,5
2025-12-15,DE,NJ,Flatbed,5.77,5.08,6.81,11
2025-12-22,DE,NJ,Flatbed,6.72,5.91,7.93,3
2025-12-29,DE,NJ,Flatbed,5.65,4.97,6.67,12
2026-01-05,DE,NJ,Flatbed,5.41,4.76,6.38,9
2026-01-12,DE,NJ,Flatbed,6.39,5.62,7.54,14
2026-01-19,DE,NJ,Flatbed,5.6,4.93,6.61,11
2026-01-26,DE,NJ,Flatbed,5.11,4.5,6.03,7
2026-02-02,DE,NJ,Flatbed,4.81,4.23,5.68,14
2026-02-09,DE,NJ,Flatbed,5.88,5.17,6.94,9
2026-02-16,DE,NJ,Flatbed,4.89,4.3,5.77,5
2026-02-23,DE,NJ,Flatbed,5.81,5.11,6.86,6
2026-03-02,DE,NJ,Flatbed,4.93,4.34,5.82,3
2026-03-09,DE,NJ,Flatbed,5.85,5.15,6.9,9
2026-03-16,DE,NJ,Flatbed,4.94,4.35,5.83,14
2026-03-23,DE,NJ,Flatbed,5.25,4.62,6.19,4
2026-03-30,DE,NJ,Flatbed,5.53,4.87,6.53,10
2026-04-06,DE,NJ,Flatbed,5.96,5.24,7.03,4
2026-04-13,DE,NJ,Flatbed,4.8,4.22,5.66,4
2026-04-20,DE,NJ,Flatbed,5.03,4.43,5.94,16
2026-04-27,DE,NJ,Flatbed,5.82,5.12,6.87,4
2026-05-04,DE,NJ,Flatbed,5.95,5.24,7.02,12
2026-05-11,DE,NJ,Flatbed,4.93,4.34,5.82,16
2025-12-01,NY,MA,Box Truck,3.92,3.45,4.63,15
2025-12-08,NY,MA,Box Truck,3.74,3.29,4.41,14
2025-12-15,NY,MA,Box Truck,3.38,2.97,3.99,14
2025-12-22,NY,MA,Box Truck,3.45,3.04,4.07,7
2025-12-29,NY,MA,Box Truck,3.1,2.73,3.66,7
2026-01-05,NY,MA,Box Truck,2.96,2.6,3.49,16
2026-01-12,NY,MA,Box Truck,3.32,2.92,3.92,3
2026-01-19,NY,MA,Box Truck,3.04,2.68,3.59,9
2026-01-26,NY,MA,Box Truck,2.97,2.61,3.5,17
2026-02-02,NY,MA,Box Truck,2.81,2.47,3.32,17
2026-02-09,NY,MA,Box Truck,2.57,2.26,3.03,10
2026-02-16,NY,MA,Box Truck,2.79,2.46,3.29,15
2026-02-23,NY,MA,Box Truck,2.66,2.34,3.14,18
2026-03-02,NY,MA,Box Truck,2.7,2.38,3.19,2
2026-03-09,NY,MA,Box Truck,3.21,2.82,3.79,13
2026-03-16,NY,MA,Box Truck,2.86,2.52,3.37,17
2026-03-23,NY,MA,Box Truck,2.76,2.43,3.26,18
2026-03-30,NY,MA,Box Truck,2.75,2.42,3.24,10
2026-04-06,NY,MA,Box Truck,2.65,2.33,3.13,12
2026-04-13,NY,MA,Box Truck,2.94,2.59,3.47,2
2026-04-20,NY,MA,Box Truck,3.14,2.76,3.71,10
2026-04-27,NY,MA,Box Truck,2.57,2.26,3.03,17
2026-05-04,NY,MA,Box Truck,2.89,2.54,3.41,9
2026-05-11,NY,MA,Box Truck,3.2,2.82,3.78,5
2025-12-01,PA,DE,Box Truck,3.66,3.22,4.32,3
2025-12-08,PA,DE,Box Truck,4.05,3.56,4.78,9
2025-12-15,PA,DE,Box Truck,3.78,3.33,4.46,14
2025-12-22,PA,DE,Box Truck,3.49,3.07,4.12,7
2025-12-29,PA,DE,Box Truck,3.25,2.86,3.83,12
2026-01-05,PA,DE,Box Truck,3.68,3.24,4.34,13
2026-01-12,PA,DE,Box Truck,3.67,3.23,4.33,2
2026-01-19,PA,DE,Box Truck,3.4,2.99,4.01,13
2026-01-26,PA,DE,Box Truck,3.49,3.07,4.12,6
2026-02-02,PA,DE,Box Truck,3.19,2.81,3.76,8
2026-02-09,PA,DE,Box Truck,3.4,2.99,4.01,17
2026-02-16,PA,DE,Box Truck,3.18,2.8,3.75,7
2026-02-23,PA,DE,Box Truck,3.14,2.76,3.71,4
2026-03-02,PA,DE,Box Truck,2.81,2.47,3.32,9
2026-03-09,PA,DE,Box Truck,2.78,2.45,3.28,17
2026-03-16,PA,DE,Box Truck,2.77,2.44,3.27,8
2026-03-23,PA,DE,Box Truck,3.38,2.97,3.99,12
2026-03-30,PA,DE,Box Truck,3.31,2.91,3.91,12
2026-04-06,PA,DE,Box Truck,2.81,2.47,3.32,6
2026-04-13,PA,DE,Box Truck,3.21,2.82,3.79,6
2026-04-20,PA,DE,Box Truck,3.35,2.95,3.95,18
2026-04-27,PA,DE,Box Truck,3.42,3.01,4.04,4
2026-05-04,PA,DE,Box Truck,3.05,2.68,3.6,14
2026-05-11,PA,DE,Box Truck,3.21,2.82,3.79,12
2025-12-01,NJ,NY,Refrigerated,5.05,4.44,5.96,7
2025-12-08,NJ,NY,Refrigerated,5.7,5.02,6.73,15
2025-12-15,NJ,NY,Refrigerated,5.64,4.96,6.66,17
2025-12-22,NJ,NY,Refrigerated,5.32,4.68,6.28,7
2025-12-29,NJ,NY,Refrigerated,5.25,4.62,6.19,13
2026-01-05,NJ,NY,Refrigerated,4.54,4.0,5.36,7
2026-01-12,NJ,NY,Refrigerated,4.59,4.04,5.42,11
2026-01-19,NJ,NY,Refrigerated,4.19,3.69,4.94,2
2026-01-26,NJ,NY,Refrigerated,4.94,4.35,5.83,14
2026-02-02,NJ,NY,Refrigerated,4.84,4.26,5.71,3
2026-02-09,NJ,NY,Refrigerated,4.12,3.63,4.86,12
2026-02-16,NJ,NY,Refrigerated,4.91,4.32,5.79,9
2026-02-23,NJ,NY,Refrigerated,4.61,4.06,5.44,5
2026-03-02,NJ,NY,Refrigerated,4.93,4.34,5.82,6
2026-03-09,NJ,NY,Refrigerated,4.28,3.77,5.05,4
2026-03-16,NJ,NY,Refrigerated,4.18,3.68,4.93,12
2026-03-23,NJ,NY,Refrigerated,4.11,3.62,4.85,4
2026-03-30,NJ,NY,Refrigerated,4.81,4.23,5.68,12
2026-04-06,NJ,NY,Refrigerated,4.41,3.88,5.2,10
2026-04-13,NJ,NY,Refrigerated,4.15,3.65,4.9,4
2026-04-20,NJ,NY,Refrigerated,4.3,3.78,5.07,5
2026-04-27,NJ,NY,Refrigerated,4.7,4.14,5.55,3
2026-05-04,NJ,NY,Refrigerated,4.34,3.82,5.12,15
2026-05-11,NJ,NY,Refrigerated,4.97,4.37,5.86,15
2025-12-01,DE,NJ,Box Truck,4.2,3.7,4.96,14
2025-12-08,DE,NJ,Box Truck,3.82,3.36,4.51,17
2025-12-15,DE,NJ,Box Truck,4.4,3.87,5.19,9
2025-12-22,DE,NJ,Box Truck,3.69,3.25,4.35,4
2025-12-29,DE,NJ,Box Truck,4.19,3.69,4.94,3
2026-01-05,DE,NJ,Box Truck,3.62,3.19,4.27,12
2026-01-12,DE,NJ,Box Truck,3.49,3.07,4.12,5
2026-01-19,DE,NJ,Box Truck,3.23,2.84,3.81,7
2026-01-26,DE,NJ,Box Truck,3.82,3.36,4.51,7
2026-02-02,DE,NJ,Box Truck,3.68,3.24,4.34,4
2026-02-09,DE,NJ,Box Truck,3.35,2.95,3.95,17
2026-02-16,DE,NJ,Box Truck,3.66,3.22,4.32,15
2026-02-23,DE,NJ,Box Truck,3.86,3.4,4.55,7
2026-03-02,DE,NJ,Box Truck,3.58,3.15,4.22,15
2026-03-09,DE,NJ,Box Truck,3.2,2.82,3.78,5
2026-03-16,DE,NJ,Box Truck,3.35,2.95,3.95,8
2026-03-23,DE,NJ,Box Truck,3.41,3.0,4.02,10
2026-03-30,DE,NJ,Box Truck,3.62,3.19,4.27,11
2026-04-06,DE,NJ,Box Truck,3.27,2.88,3.86,3
2026-04-13,DE,NJ,Box Truck,3.4,2.99,4.01,17
2026-04-20,DE,NJ,Box Truck,3.2,2.82,3.78,13
2026-04-27,DE,NJ,Box Truck,3.07,2.7,3.62,4
2026-05-04,DE,NJ,Box Truck,3.32,2.92,3.92,17
2026-05-11,DE,NJ,Box Truck,3.24,2.85,3.82,2
2025-12-01,NJ,PA,Sprinter Van,3.24,2.85,3.82,4
2025-12-08,NJ,PA,Sprinter Van,3.04,2.68,3.59,5
2025-12-15,NJ,PA,Sprinter Van,2.85,2.51,3.36,14
2025-12-22,NJ,PA,Sprinter Van,2.89,2.54,3.41,10
2025-12-29,NJ,PA,Sprinter Van,2.56,2.25,3.02,14
2026-01-05,NJ,PA,Sprinter Van,2.55,2.24,3.01,14
2026-01-12,NJ,PA,Sprinter Van,2.6,2.29,3.07,16
2026-01-19,NJ,PA,Sprinter Van,2.32,2.04,2.74,16
2026-01-26,NJ,PA,Sprinter Van,2.51,2.21,2.96,9
2026-02-02,NJ,PA,Sprinter Van,2.74,2.41,3.23,3
2026-02-09,NJ,PA,Sprinter Van,2.32,2.04,2.74,5
2026-02-16,NJ,PA,Sprinter Van,2.28,2.01,2.69,13
2026-02-23,NJ,PA,Sprinter Van,2.72,2.39,3.21,15
2026-03-02,NJ,PA,Sprinter Van,2.82,2.48,3.33,9
2026-03-09,NJ,PA,Sprinter Van,2.56,2.25,3.02,14
2026-03-16,NJ,PA,Sprinter Van,2.72,2.39,3.21,15
2026-03-23,NJ,PA,Sprinter Van,2.81,2.47,3.32,17
2026-03-30,NJ,PA,Sprinter Van,2.58,2.27,3.04,9
2026-04-06,NJ,PA,Sprinter Van,2.52,2.22,2.97,4
2026-04-13,NJ,PA,Sprinter Van,2.47,2.17,2.91,3
2026-04-20,NJ,PA,Sprinter Van,2.53,2.23,2.99,18
2026-04-27,NJ,PA,Sprinter Van,2.71,2.38,3.2,6
2026-05-04,NJ,PA,Sprinter Van,2.3,2.02,2.71,16
2026-05-11,NJ,PA,Sprinter Van,2.33,2.05,2.75,7
2025-12-01,NJ,MD,Refrigerated,7.91,6.96,9.33,6
2025-12-08,NJ,MD,Refrigerated,6.4,5.63,7.55,4
2025-12-15,NJ,MD,Refrigerated,7.83,6.89,9.24,15
2025-12-22,NJ,MD,Refrigerated,6.34,5.58,7.48,6
2025-12-29,NJ,MD,Refrigerated,7.18,6.32,8.47,10
2026-01-05,NJ,MD,Refrigerated,6.19,5.45,7.3,4
2026-01-12,NJ,MD,Refrigerated,5.67,4.99,6.69,14
2026-01-19,NJ,MD,Refrigerated,6.19,5.45,7.3,10
2026-01-26,NJ,MD,Refrigerated,5.97,5.25,7.04,2
2026-02-02,NJ,MD,Refrigerated,6.35,5.59,7.49,18
2026-02-09,NJ,MD,Refrigerated,6.34,5.58,7.48,5
2026-02-16,NJ,MD,Refrigerated,5.82,5.12,6.87,6
2026-02-23,NJ,MD,Refrigerated,6.03,5.31,7.12,5
2026-03-02,NJ,MD,Refrigerated,6.54,5.76,7.72,5
2026-03-09,NJ,MD,Refrigerated,6.35,5.59,7.49,13
2026-03-16,NJ,MD,Refrigerated,6.48,5.7,7.65,10
2026-03-23,NJ,MD,Refrigerated,5.77,5.08,6.81,17
2026-03-30,NJ,MD,Refrigerated,6.04,5.32,7.13,17
2026-04-06,NJ,MD,Refrigerated,5.28,4.65,6.23,10
2026-04-13,NJ,MD,Refrigerated,5.8,5.1,6.84,14
2026-04-20,NJ,MD,Refrigerated,5.28,4.65,6.23,12
2026-04-27,NJ,MD,Refrigerated,6.21,5.46,7.33,3
2026-05-04,NJ,MD,Refrigerated,6.29,5.54,7.42,10
2026-05-11,NJ,MD,Refrigerated,6.5,5.72,7.67,2
2025-12-01,NJ,NJ,Box Truck,4.34,3.82,5.12,11
2025-12-08,NJ,NJ,Box Truck,3.75,3.3,4.42,17
2025-12-15,NJ,NJ,Box Truck,4.19,3.69,4.94,5
2025-12-22,NJ,NJ,Box Truck,4.19,3.69,4.94,9
2025-12-29,NJ,NJ,Box Truck,3.34,2.94,3.94,16
2026-01-05,NJ,NJ,Box Truck,3.8,3.34,4.48,12
2026-01-12,NJ,NJ,Box Truck,3.28,2.89,3.87,15
2026-01-19,NJ,NJ,Box Truck,3.46,3.04,4.08,4
2026-01-26,NJ,NJ,Box Truck,3.03,2.67,3.58,8
2026-02-02,NJ,NJ,Box Truck,3.6,3.17,4.25,15
2026-02-09,NJ,NJ,Box Truck,3.46,3.04,4.08,18
2026-02-16,NJ,NJ,Box Truck,3.56,3.13,4.2,3
2026-02-23,NJ,NJ,Box Truck,3.29,2.9,3.88,7
2026-03-02,NJ,NJ,Box Truck,2.93,2.58,3.46,18
2026-03-09,NJ,NJ,Box Truck,3.2,2.82,3.78,18
2026-03-16,NJ,NJ,Box Truck,3.57,3.14,4.21,2
2026-03-23,NJ,NJ,Box Truck,3.02,2.66,3.56,8
2026-03-30,NJ,NJ,Box Truck,3.54,3.12,4.18,9
2026-04-06,NJ,NJ,Box Truck,2.91,2.56,3.43,3
2026-04-13,NJ,NJ,Box Truck,3.6,3.17,4.25,8
2026-04-20,NJ,NJ,Box Truck,3.1,2.73,3.66,16
2026-04-27,NJ,NJ,Box Truck,3.28,2.89,3.87,5
2026-05-04,NJ,NJ,Box Truck,3.42,3.01,4.04,9
2026-05-11,NJ,NJ,Box Truck,3.17,2.79,3.74,16
2025-12-01,NJ,CT,Flatbed,4.87,4.29,5.75,13
